manufacturer,device,patchset,displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,creator-short,creator,creator-proximity,original-patchname
Access,Virus A,Factory,A0,Overture,0,,0,,,,,1,1,K,Unknown (K),1,Overture K
Access,Virus A,Factory,A1,First,0,,1,,,,,1,2,K,Unknown (K),1,First K
Access,Virus A,Factory,A2,Virus,0,,2,,,Arp,,1,3,K,Unknown (K),1,Virus K
Access,Virus A,Factory,A3,V-Pad 1,0,,3,,,,,1,4,K,Unknown (K),1,V-Pad 1 K
Access,Virus A,Factory,A4,V-Birth1,0,,4,,,,,1,5,K,Unknown (K),1,V-Birth1 K
Access,Virus A,Factory,A5,V-Birth1,0,,5,,,,,1,6,K,Unknown (K),1,V-Birth1 K
Access,Virus A,Factory,A6,V-Birth2,0,,6,,,,,1,7,K,Unknown (K),1,V-Birth2 K
Access,Virus A,Factory,A7,RavePad1,0,,7,,,,,1,8,K,Unknown (K),1,RavePad1 K
Access,Virus A,Factory,A8,RavePad2,0,,8,,,,,1,9,K,Unknown (K),1,RavePad2 K
Access,Virus A,Factory,A9,Compres2,0,,9,,,,,1,10,K,Unknown (K),1,Compres2 K
Access,Virus A,Factory,A10,Basics,0,,10,,,,,1,11,,,,
Access,Virus A,Factory,A11,PP?-PAD,0,,11,,,Pad,,1,12,RP,Rob Papen,1,PP?-PAD RP
Access,Virus A,Factory,A12,NO-SEQ,0,,12,,,,,1,13,RP,Rob Papen,1,NO-SEQ RP
Access,Virus A,Factory,A13,FusionBrs,0,,13,,,,,1,14,,,,
Access,Virus A,Factory,A14,V-Pad 2,0,,14,,,Pad,,1,15,K,Unknown (K),1,V-Pad 2 K
Access,Virus A,Factory,A15,Vi-bass,0,,15,,,Bass,,1,16,RP,Rob Papen,1,Vi-bass RP
Access,Virus A,Factory,A16,VI-SYNC,0,,16,,,,,1,17,RP,Rob Papen,1,VI-SYNC RP
Access,Virus A,Factory,A17,ZZ-ROB,0,,17,,,,,1,18,RP,Rob Papen,1,ZZ-ROB RP
Access,Virus A,Factory,A18,Polaris,0,,18,,,,,1,19,,,,
Access,Virus A,Factory,A19,Compress,0,,19,,,,,1,20,K,Unknown (K),1,Compress K
Access,Virus A,Factory,A20,SatSync,0,,20,,,,,1,21,K,Unknown (K),1,SatSync K
Access,Virus A,Factory,A21,VIP-PAD,0,,21,,,Pad,,1,22,RP,Rob Papen,1,VIP-PAD RP
Access,Virus A,Factory,A22,ZZ-bass,0,,22,,,Bass,,1,23,RP,Rob Papen,1,ZZ-bass RP
Access,Virus A,Factory,A23,XOBASS,0,,23,,,Bass,,1,24,RP,Rob Papen,1,XOBASS RP
Access,Virus A,Factory,A24,SeqBass 2,0,,24,,,Bass,,1,25,,,,
Access,Virus A,Factory,A25,PickBass 2,0,,25,,,Bass,,1,26,,,,
Access,Virus A,Factory,A26,No Age,0,,26,,,,,1,27,,,,
Access,Virus A,Factory,A27,Bass-MAN,0,,27,,,Bass,,1,28,,,,
Access,Virus A,Factory,A28,PAD-777,0,,28,,,Pad,,1,29,RP,Rob Papen,1,PAD-777 RP
Access,Virus A,Factory,A29,WangTang,0,,29,,,,,1,30,,,,
Access,Virus A,Factory,A30,Virus 2,0,,30,,,Arp,,1,31,K,Unknown (K),1,Virus 2 K
Access,Virus A,Factory,A31,D-SOCK,0,,31,,,,,1,32,RP,Rob Papen,1,D-SOCK RP
Access,Virus A,Factory,A32,Clockwork,0,,32,,,,,1,33,,,,
Access,Virus A,Factory,A33,Cybercussn,0,,33,,,,,1,34,,,,
Access,Virus A,Factory,A34,Shivatron,0,,34,,,,,1,35,,,,
Access,Virus A,Factory,A35,V-Resoni,0,,35,,,,,1,36,K,Unknown (K),1,V-Resoni K
Access,Virus A,Factory,A36,Whew!,0,,36,,,,,1,37,,,,
Access,Virus A,Factory,A37,TechnoArp,0,,37,,,Arp,,1,38,,,,
Access,Virus A,Factory,A38,Strongs,0,,38,,,Strings,,1,39,,,,
Access,Virus A,Factory,A39,Tension...,0,,39,,,,,1,40,,,,
Access,Virus A,Factory,A40,Penicillin,0,,40,,,,,1,41,,,,
Access,Virus A,Factory,A41,Bellthing,0,,41,,,,,1,42,,,,
Access,Virus A,Factory,A42,V-Church,0,,42,,,Organ,,1,43,K,Unknown (K),1,V-Church K
Access,Virus A,Factory,A43,HOLLAND,0,,43,,,,,1,44,RP,Rob Papen,1,HOLLAND RP
