manufacturer,device,patchset,displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,creator-short,creator,creator-proximity,original-patchname
KORG,KP3+,,FLt.1,Morphing Filter,,,,,,Filter,,,,,,,
KORG,KP3+,,FLt.2,Low Pass Filter,,,,,,Filter,,,,,,,
KORG,KP3+,,FLt.3,High Pass Filter,,,,,,Filter,,,,,,,
KORG,KP3+,,FLt.4,Band Pass Filter,,,,,,Filter,,,,,,,
KORG,KP3+,,FLt.5,72dB/oct LPF,,,,,,Filter,,,,,,,
KORG,KP3+,,FLt.6,LPF & Delay,,,,,,Filter,,,,,,,
KORG,KP3+,,FLt.7,HPF & Delay,,,,,,Filter,,,,,,,
KORG,KP3+,,FLt.8,BPF+ & Delay,,,,,,Filter,,,,,,,
KORG,KP3+,,FLt.9,LPF & Reverb,,,,,,Filter,,,,,,,
KORG,KP3+,,FL.10,HPF & Reverb,,,,,,Filter,,,,,,,
KORG,KP3+,,FL.11,BPF+&Reverb,,,,,,Filter,,,,,,,
KORG,KP3+,,FL.12,Vowel Filter,,,,,,Filter,,,,,,,
KORG,KP3+,,FL.13,Telephone Filter,,,,,,Filter,,,,,,,
KORG,KP3+,,FL.14,Radio Filter,,,,,,Filter,,,,,,,
KORG,KP3+,,FL.15,Radio Isolator,,,,,,Filter,,,,,,,
KORG,KP3+,,FL.16,Center Canceler,,,,,,Filter,,,,,,,
KORG,KP3+,,FL.17,Mid Cut Filter,,,,,,Filter,,,,,,,
KORG,KP3+,,FL.18,Isolator,,,,,,Filter,,,,,,,
KORG,KP3+,,FL.19,Isolator & Distortion,,,,,,Filter,,,,,,,
KORG,KP3+,,FL.20,Isolator & Delay,,,,,,Filter,,,,,,,
KORG,KP3+,,Eq.1,4 Band Equalizer,,,,,,EQ,,,,,,,
KORG,KP3+,,Eq.2,8 Band Equalizer,,,,,,EQ,,,,,,,
KORG,KP3+,,Mod.1,Vinyl Break,,,,,,Modulation,,,,,,,
KORG,KP3+,,Mod.2,Break Reverb,,,,,,Modulation,,,,,,,
KORG,KP3+,,Mod.3,Jet +,,,,,,Modulation,,,,,,,
KORG,KP3+,,Mod.4,Jet,,,,,,Modulation,,,,,,,
KORG,KP3+,,Mod.5,Manual Phaser,,,,,,Modulation,,,,,,,
KORG,KP3+,,Mod.6,Talk Filter,,,,,,Modulation,,,,,,,
KORG,KP3+,,Mod.7,Digi Talk,,,,,,Modulation,,,,,,,
KORG,KP3+,,Mod.8,Ducking Compressor,,,,,,Modulation,,,,,,,
KORG,KP3+,,Mod.9,Compressor,,,,,,Modulation,,,,,,,
KORG,KP3+,,Md.10,Low Compressor,,,,,,Modulation,,,,,,,
