manufacturer,device,patchset,displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,Mode,SEQ 1,SEQ 2,SEQ 3
KORG,MS2000,Factory presets 2000,A01,Stab Saw,0,,0,,OFF,Synth Hard,,,1,Single,,,
KORG,MS2000,Factory presets 2000,A02,Synth Lana,0,,1,,Up,Arpeggio,,,2,Single,Panpot,Pitch,Step Length
KORG,MS2000,Factory presets 2000,A03,Evolution,0,,2,,OFF,Synth Pad,,,3,Single,LFO1 Freq,Patch 4 Int,EG2 Release
KORG,MS2000,Factory presets 2000,A04,Boost Bass,0,,3,,OFF,Synth Bass,,,4,Single,,,
KORG,MS2000,Factory presets 2000,A05,Dirty Sync,0,,4,,OFF,Synth Lead,,,5,Single,,,
KORG,MS2000,Factory presets 2000,A06,Zoop Mania,0,,5,,Down,Sequence,,,6,Dual,"T1| Patch 4 Int
T2| OSC2 Level","EG2 Decay
OSC1 Ctrl1","Pitch
Amp Level"
KORG,MS2000,Factory presets 2000,A07,Ice Field,0,,6,,OFF,Bell,,,7,Single,,,
KORG,MS2000,Factory presets 2000,A08,Lounge Organ,0,,7,,OFF,Keyboard,,,8,Single,,,
KORG,MS2000,Factory presets 2000,A09,MG Bass,0,,8,,OFF,Synth Bass,,,9,Single,,,
KORG,MS2000,Factory presets 2000,A10,GatesOfHell,0,,9,,OFF,Sequence,,,10,Single,Amp Level,None,None
KORG,MS2000,Factory presets 2000,A11,PWM Strings,0,,10,,OFF,Strings,,,11,Single,,,
KORG,MS2000,Factory presets 2000,A12,Turn Wheel,0,,11,,OFF,Synth Lead,,,12,Single,,,
KORG,MS2000,Factory presets 2000,A13,Synth Tp,0,,12,,OFF,Synth Brass,,,13,Single,,,
KORG,MS2000,Factory presets 2000,A14,DWGS WaveSeq,0,,13,,OFF,Wave Seq,,,14,Single,OSC1 Ctrl2,Panpot,None
KORG,MS2000,Factory presets 2000,A15,Drive Bass,0,,14,,OFF,Synth Bass,,,15,Single,,,
KORG,MS2000,Factory presets 2000,A16,Surrounded,0,,15,,OFF,S.E.,,,16,Single,LFO1 Freq,None,None
KORG,MS2000,Factory presets 2000,B01,Lazy Pitch,0,,16,,OFF,Synth Hard,,,17,Single,,,
KORG,MS2000,Factory presets 2000,B02,Stairs Pad,0,,17,,Alt1,Arpeggio,,,18,Dual,"T1| Panpot
T2| None","EG1 Int
None","Step Length
None"
KORG,MS2000,Factory presets 2000,B03,Silk Pad,0,,18,,OFF,Synth Pad,,,19,Single,,,
KORG,MS2000,Factory presets 2000,B04,Zap Bass,0,,19,,OFF,Synth Bass,,,20,Single,,,
KORG,MS2000,Factory presets 2000,B05,Uni Synth,0,,20,,OFF,Synth Lead,,,21,Dual,"T1 |
T2 |",,
KORG,MS2000,Factory presets 2000,B06,PsycheTrance,0,,21,,OFF,Sequence,,,22,Dual,"T1| Amp Level
T2| Amp Level","Pitch
Noise Level","OSC2 Semi
None"
KORG,MS2000,Factory presets 2000,B07,Deep Bell,0,,22,,OFF,Bell,,,23,Single,Patch1 Int,None,None
KORG,MS2000,Factory presets 2000,B08,Synth Clav,0,,23,,OFF,Keyboard,,,24,Single,,,
KORG,MS2000,Factory presets 2000,B09,Line Bass,0,,24,,OFF,Synth Bass,,,25,Single,,,
KORG,MS2000,Factory presets 2000,B10,SearchEngine,0,,25,,Trigger,Sequence,,,26,Dual,"T1| Step Length
T2| EG1 Decay","None
Noise Level","None
Cutoff"
KORG,MS2000,Factory presets 2000,B11,Voice /A/,0,,26,,OFF,Choir,,,27,Single,,,
KORG,MS2000,Factory presets 2000,B12,Far Horizon,0,,27,,OFF,Synth Lead,,,28,Dual,"T1 |
T2 |",,
KORG,MS2000,Factory presets 2000,B13,Glass,0,,28,,OFF,Synth Soft,,,29,Single,,,
KORG,MS2000,Factory presets 2000,B14,Random,0,,29,,OFF,Sequence,,,30,Single,Pitch,OSC1 Ctrl1,Cutoff
KORG,MS2000,Factory presets 2000,B15,Jami Bass,0,,30,,OFF,Synth Bass,,,31,Single,,,
KORG,MS2000,Factory presets 2000,B16,Loomy,0,,31,,OFF,S.E.,,,32,Single,,,
KORG,MS2000,Factory presets 2000,C01,Poly Line,0,,32,,OFF,Synth Hard,,,33,Single,,,
KORG,MS2000,Factory presets 2000,C02,Krazy Arpy 1,0,,33,,Random,Arpeggio,,,34,Single,,,
KORG,MS2000,Factory presets 2000,C03,Mod3&4 Squad,0,,34,,OFF,Synth Pad,,,35,Single,,,
KORG,MS2000,Factory presets 2000,C04,What D' Time,0,,35,,OFF,Synth Bass,,,36,Single,,,
KORG,MS2000,Factory presets 2000,C05,Healing,0,,36,,OFF,Synth Lead,,,37,Single,,,
KORG,MS2000,Factory presets 2000,C06,Auto Disco,0,,37,,Up,Sequence,,,38,Dual,"T1 |
T2 |",,
KORG,MS2000,Factory presets 2000,C07,Candy Box,0,,38,,OFF,Bell,,,39,Single,,,
KORG,MS2000,Factory presets 2000,C08,Vintage EP,0,,39,,OFF,Keyboard,,,40,Single,,,
KORG,MS2000,Factory presets 2000,C09,Mini Bass,0,,40,,OFF,Synth Bass,,,41,Single,,,
KORG,MS2000,Factory presets 2000,C10,Tap Lead,0,,41,,Up,Sequence,,,42,Dual,"T1| Cutoff
T1| Pitch","OSC2 Semi
Cutoff","None
None"
KORG,MS2000,Factory presets 2000,C11,Royal Pad,0,,42,,OFF,Synth Pad,,,43,Single,,,
KORG,MS2000,Factory presets 2000,C12,Freq Lead,0,,43,,OFF,Synth Lead,,,44,Single,,,
KORG,MS2000,Factory presets 2000,C13,Solemn Brass,0,,44,,OFF,Synth Brass,,,45,Dual,"T1 |
T2 |",,
KORG,MS2000,Factory presets 2000,C14,IZDISA-WS,0,,45,,OFF,Wave Seq,,,46,Single,OSC1 Ctrl2,None,None
KORG,MS2000,Factory presets 2000,C15,House Bass,0,,46,,OFF,Synth Bass,,,47,Single,,,
KORG,MS2000,Factory presets 2000,C16,Invaders,0,,47,,Random,S.E.,,,48,Single,EG1 Attack,Resonance,None
KORG,MS2000,Factory presets 2000,D01,Ana Fuzz,0,,48,,OFF,Synth Hard,,,49,Single,,,
