manufacturer,device,patchset,displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,creator-short,creator,creator-proximity,original-patchname,yt-startsecond,yt-starttime,yt-endsecond,yt-link
KORG,micro KORG,Cuckoo Patches 2018,A.11,Mana Longing,0,,0,,,Favourites,,,1,,Cuckoo,,,399.68,0:06:39.68,418.12,https://www.youtube.com/watch?v=UeiKJdvcync#t=399.68
KORG,micro KORG,Cuckoo Patches 2018,A.12,Bad Mahal,0,,1,,,Favourites,,,2,,Cuckoo,,,418.12,0:06:58.12,431.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=418.12
KORG,micro KORG,Cuckoo Patches 2018,A.13,Thunderfat,0,,2,,,Favourites,,,3,,Cuckoo,,,431.00,0:07:11,442.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=431.00
KORG,micro KORG,Cuckoo Patches 2018,A.14,Key Tramp,0,,3,,,Favourites,,,4,,Cuckoo,,,442.88,0:07:22.88,457.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=442.88
KORG,micro KORG,Cuckoo Patches 2018,A.15,Steel Pan,0,,4,,,Favourites,,,5,,Cuckoo,,,457.00,0:07:37,466.00,https://www.youtube.com/watch?v=UeiKJdvcync#t=457.00
KORG,micro KORG,Cuckoo Patches 2018,A.16,Plinka Box,0,,5,,,Favourites,,,6,,Cuckoo,,,466.00,0:07:46,474.12,https://www.youtube.com/watch?v=UeiKJdvcync#t=466.00
KORG,micro KORG,Cuckoo Patches 2018,A.17,Boston,0,,6,,,Favourites,,,7,,Cuckoo,,,474.12,0:07:54.12,483.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=474.12
KORG,micro KORG,Cuckoo Patches 2018,A.18,Silent Bella,0,,7,,,Favourites,,,8,,Cuckoo,,,483.60,0:08:03.60,499.48,https://www.youtube.com/watch?v=UeiKJdvcync#t=483.60
KORG,micro KORG,Cuckoo Patches 2018,A.21,Bass Toe,0,,8,,,Bass,,,9,,Cuckoo,,,499.48,0:08:19.48,508.28,https://www.youtube.com/watch?v=UeiKJdvcync#t=499.48
KORG,micro KORG,Cuckoo Patches 2018,A.22,Bassup,0,,9,,,Bass,,,10,,Cuckoo,,,508.28,0:08:28.28,517.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=508.28
KORG,micro KORG,Cuckoo Patches 2018,A.23,Boss Time,0,,10,,,Bass,,,11,,Cuckoo,,,517.60,0:08:37.60,526.96,https://www.youtube.com/watch?v=UeiKJdvcync#t=517.60
KORG,micro KORG,Cuckoo Patches 2018,A.24,Bass mass,0,,11,,,Bass,,,12,,Cuckoo,,,526.96,0:08:46.96,534.56,https://www.youtube.com/watch?v=UeiKJdvcync#t=526.96
KORG,micro KORG,Cuckoo Patches 2018,A.25,Synth Bass,0,,12,,,Bass,,,13,,Cuckoo,,,534.56,0:08:54.56,547.68,https://www.youtube.com/watch?v=UeiKJdvcync#t=534.56
KORG,micro KORG,Cuckoo Patches 2018,A.26,Damnit Bass,0,,13,,,Bass,,,14,,Cuckoo,,,547.68,0:09:07.68,553.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=547.68
KORG,micro KORG,Cuckoo Patches 2018,A.27,Basstic,0,,14,,,Bass,,,15,,Cuckoo,,,553.76,0:09:13.76,562.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=553.76
KORG,micro KORG,Cuckoo Patches 2018,A.28,Just Bass,0,,15,,,Bass,,,16,,Cuckoo,,,562.76,0:09:22.76,573.44,https://www.youtube.com/watch?v=UeiKJdvcync#t=562.76
KORG,micro KORG,Cuckoo Patches 2018,A.31,Key Bolton,0,,16,,,Keyboards,,,17,,Cuckoo,,,573.44,0:09:33.44,583.24,https://www.youtube.com/watch?v=UeiKJdvcync#t=573.44
KORG,micro KORG,Cuckoo Patches 2018,A.32,Key Some,0,,17,,,Keyboards,,,18,,Cuckoo,,,583.24,0:09:43.24,593.20,https://www.youtube.com/watch?v=UeiKJdvcync#t=583.24
KORG,micro KORG,Cuckoo Patches 2018,A.33,Key Thump,0,,18,,,Keyboards,,,19,,Cuckoo,,,593.20,0:09:53.20,602.56,https://www.youtube.com/watch?v=UeiKJdvcync#t=593.20
KORG,micro KORG,Cuckoo Patches 2018,A.34,Key Mute,0,,19,,,Keyboards,,,20,,Cuckoo,,,602.56,0:10:02.56,614.92,https://www.youtube.com/watch?v=UeiKJdvcync#t=602.56
KORG,micro KORG,Cuckoo Patches 2018,A.35,End Piano,0,,20,,,Keyboards,,,21,,Cuckoo,,,614.92,0:10:14.92,626.32,https://www.youtube.com/watch?v=UeiKJdvcync#t=614.92
KORG,micro KORG,Cuckoo Patches 2018,A.36,Clavio,0,,21,,,Keyboards,,,22,,Cuckoo,,,626.32,0:10:26.32,634.24,https://www.youtube.com/watch?v=UeiKJdvcync#t=626.32
KORG,micro KORG,Cuckoo Patches 2018,A.37,Sqeet Fox,0,,22,,,Keyboards,,,23,,Cuckoo,,,634.24,0:10:34.24,649.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=634.24
KORG,micro KORG,Cuckoo Patches 2018,A.38,Beardy Birds,0,,23,,,Keyboards,,,24,,Cuckoo,,,649.76,0:10:49.76,658.72,https://www.youtube.com/watch?v=UeiKJdvcync#t=649.76
KORG,micro KORG,Cuckoo Patches 2018,A.41,Visconsin,0,,24,,,Sadventure,,,25,,Cuckoo,,,658.72,0:10:58.72,668.44,https://www.youtube.com/watch?v=UeiKJdvcync#t=658.72
KORG,micro KORG,Cuckoo Patches 2018,A.42,Kitaro,0,,25,,,Sadventure,,,26,,Cuckoo,,,668.44,0:11:08.44,683.04,https://www.youtube.com/watch?v=UeiKJdvcync#t=668.44
KORG,micro KORG,Cuckoo Patches 2018,A.43,SecretString,0,,26,,,Sadventure,,,27,,Cuckoo,,,683.04,0:11:23.04,694.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=683.04
KORG,micro KORG,Cuckoo Patches 2018,A.44,Hesa Hasse,0,,27,,,Sadventure,,,28,,Cuckoo,,,694.60,0:11:34.60,709.04,https://www.youtube.com/watch?v=UeiKJdvcync#t=694.60
KORG,micro KORG,Cuckoo Patches 2018,A.45,Vibes,0,,28,,,Sadventure,,,29,,Cuckoo,,,709.04,0:11:49.04,720.96,https://www.youtube.com/watch?v=UeiKJdvcync#t=709.04
KORG,micro KORG,Cuckoo Patches 2018,A.46,Setback,0,,29,,,Sadventure,,,30,,Cuckoo,,,720.96,0:12:00.96,731.52,https://www.youtube.com/watch?v=UeiKJdvcync#t=720.96
KORG,micro KORG,Cuckoo Patches 2018,A.47,Whistler,0,,30,,,Sadventure,,,31,,Cuckoo,,,731.52,0:12:11.52,738.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=731.52
KORG,micro KORG,Cuckoo Patches 2018,A.48,Grain Spray,0,,31,,,Sadventure,,,32,,Cuckoo,,,738.88,0:12:18.88,751.84,https://www.youtube.com/watch?v=UeiKJdvcync#t=738.88
KORG,micro KORG,Cuckoo Patches 2018,A.51,Bit Stars,0,,32,,,8-Bit,,,33,,Cuckoo,,,751.84,0:12:31.84,761.08,https://www.youtube.com/watch?v=UeiKJdvcync#t=751.84
KORG,micro KORG,Cuckoo Patches 2018,A.52,BlandSquare,0,,33,,,8-Bit,,,34,,Cuckoo,,,761.08,0:12:41.08,774.28,https://www.youtube.com/watch?v=UeiKJdvcync#t=761.08
KORG,micro KORG,Cuckoo Patches 2018,A.53,NESquare,0,,34,,,8-Bit,,,35,,Cuckoo,,,774.28,0:12:54.28,789.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=774.28
KORG,micro KORG,Cuckoo Patches 2018,A.54,NESWIZ,0,,35,,,8-Bit,,,36,,Cuckoo,,,789.76,0:13:09.76,806.28,https://www.youtube.com/watch?v=UeiKJdvcync#t=789.76
KORG,micro KORG,Cuckoo Patches 2018,A.55,PitchDZA,0,,36,,,8-Bit,,,37,,Cuckoo,,,806.28,0:13:26.28,818.76,https://www.youtube.com/watch?v=UeiKJdvcync#t=806.28
KORG,micro KORG,Cuckoo Patches 2018,A.56,PitchPatch,0,,37,,,8-Bit,,,38,,Cuckoo,,,818.76,0:13:38.76,831.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=818.76
KORG,micro KORG,Cuckoo Patches 2018,A.57,Clarisquare,0,,38,,,8-Bit,,,39,,Cuckoo,,,831.60,0:13:51.60,843.48,https://www.youtube.com/watch?v=UeiKJdvcync#t=831.60
KORG,micro KORG,Cuckoo Patches 2018,A.58,Clarisquat,0,,39,,,8-Bit,,,40,,Cuckoo,,,843.48,0:14:03.48,854.72,https://www.youtube.com/watch?v=UeiKJdvcync#t=843.48
KORG,micro KORG,Cuckoo Patches 2018,A.61,4ever Y,0,,40,,,Pads,,,41,,Cuckoo,,,854.72,0:14:14.72,870.72,https://www.youtube.com/watch?v=UeiKJdvcync#t=854.72
KORG,micro KORG,Cuckoo Patches 2018,A.62,Dead Tower,0,,41,,,Pads,,,42,,Cuckoo,,,870.72,0:14:30.72,883.48,https://www.youtube.com/watch?v=UeiKJdvcync#t=870.72
KORG,micro KORG,Cuckoo Patches 2018,A.63,Pad Mahal,0,,42,,,Pads,,,43,,Cuckoo,,,883.48,0:14:43.48,897.60,https://www.youtube.com/watch?v=UeiKJdvcync#t=883.48
KORG,micro KORG,Cuckoo Patches 2018,A.64,Cric Mahal,0,,43,,,Pads,,,44,,Cuckoo,,,897.60,0:14:57.60,908.96,https://www.youtube.com/watch?v=UeiKJdvcync#t=897.60
KORG,micro KORG,Cuckoo Patches 2018,A.65,Almost Heaven,0,,44,,,Pads,,,45,,Cuckoo,,,908.96,0:15:08.96,919.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=908.96
KORG,micro KORG,Cuckoo Patches 2018,A.66,Future Chron,0,,45,,,Pads,,,46,,Cuckoo,,,919.88,0:15:19.88,936.92,https://www.youtube.com/watch?v=UeiKJdvcync#t=919.88
KORG,micro KORG,Cuckoo Patches 2018,A.67,Dolphester,0,,46,,,Pads,,,47,,Cuckoo,,,936.92,0:15:36.92,953.88,https://www.youtube.com/watch?v=UeiKJdvcync#t=936.92
KORG,micro KORG,Cuckoo Patches 2018,A.68,Aunt Eve,0,,47,,,Pads,,,48,,Cuckoo,,,953.88,0:15:53.88,967.20,https://www.youtube.com/watch?v=UeiKJdvcync#t=953.88
KORG,micro KORG,Cuckoo Patches 2018,A.71,Final Boss,0,,48,,,Arpeggio,,,49,,Cuckoo,,,967.20,0:16:07.20,986.96,https://www.youtube.com/watch?v=UeiKJdvcync#t=967.20
KORG,micro KORG,Cuckoo Patches 2018,A.72,Cuckonga,0,,49,,,Arpeggio,,,50,,Cuckoo,,,986.96,0:16:26.96,994.32,https://www.youtube.com/watch?v=UeiKJdvcync#t=986.96
