manufacturer,device,patchset,displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,skip
Quasimidi,The Raven,Factory presets 1996,A001,_19_19bs,1,,0,,,Bass,TODO,TODO,TODO,
Quasimidi,The Raven,Factory presets 1996,A002,Acbassfm,1,,1,,,Bass,,1,2,
Quasimidi,The Raven,Factory presets 1996,A003,AjaxPad,1,,2,,,Bass,,1,3,
Quasimidi,The Raven,Factory presets 1996,A004,Ana_Akai,1,,3,,,Bass,,1,4,
Quasimidi,The Raven,Factory presets 1996,A005,BallsBas,1,,4,,,Bass,,1,5,
Quasimidi,The Raven,Factory presets 1996,A006,Basriser,1,,5,,,Bass,,1,6,
Quasimidi,The Raven,Factory presets 1996,A007,Bassland,1,,6,,,Bass,,1,7,
Quasimidi,The Raven,Factory presets 1996,A008,BassReso,1,,7,,,Bass,,1,8,
Quasimidi,The Raven,Factory presets 1996,A009,Bassslow,1,,8,,,Bass,,1,9,
Quasimidi,The Raven,Factory presets 1996,A010,BassSolo,1,,9,,,Bass,,1,10,
Quasimidi,The Raven,Factory presets 1996,A011,BauchBs,1,,10,,,Bass,,1,11,
Quasimidi,The Raven,Factory presets 1996,A012,BobsBall,1,,11,,,Bass,,1,12,
Quasimidi,The Raven,Factory presets 1996,A013,BsSh101a,1,,12,,,Bass,,1,13,
Quasimidi,The Raven,Factory presets 1996,A014,Citybass,1,,13,,,Bass,,1,14,
Quasimidi,The Raven,Factory presets 1996,A015,Conbasso,1,,14,,,Bass,,1,15,
Quasimidi,The Raven,Factory presets 1996,A016,Coupler,1,,15,,,Bass,,1,16,
Quasimidi,The Raven,Factory presets 1996,A017,CptBlaub,1,,16,,,Bass,,1,17,
Quasimidi,The Raven,Factory presets 1996,A018,CutoffBs,1,,17,,,Bass,,1,18,
Quasimidi,The Raven,Factory presets 1996,A019,DeepBas1,1,,18,,,Bass,,1,19,
Quasimidi,The Raven,Factory presets 1996,A020,DeepBas2,1,,19,,,Bass,,1,20,
Quasimidi,The Raven,Factory presets 1996,A021,DeepBas3,1,,20,,,Bass,,1,21,
Quasimidi,The Raven,Factory presets 1996,A022,DeepLine,1,,21,,,Bass,,1,22,
Quasimidi,The Raven,Factory presets 1996,A023,DJAxyl,1,,22,,,Bass,,1,23,
Quasimidi,The Raven,Factory presets 1996,A024,DukeBass,1,,23,,,Bass,,1,24,
Quasimidi,The Raven,Factory presets 1996,A025,Ecu_Bass,1,,24,,,Bass,,1,25,
Quasimidi,The Raven,Factory presets 1996,A026,FloorBs,,,25,,,Bass,,1,26,
Quasimidi,The Raven,Factory presets 1996,A027,Formant1,,,26,,,Bass,,1,27,
Quasimidi,The Raven,Factory presets 1996,A028,FunkyArp,,,27,,,Bass,,1,28,
Quasimidi,The Raven,Factory presets 1996,A029,Gide303,,,28,,,Bass,,1,29,
Quasimidi,The Raven,Factory presets 1996,A030,Glide303,,,29,,,Bass,,1,30,
Quasimidi,The Raven,Factory presets 1996,A031,Glidebas,,,30,,,Bass,,1,31,
Quasimidi,The Raven,Factory presets 1996,A032,Glider,,,31,,,Bass,,1,32,
Quasimidi,The Raven,Factory presets 1996,A033,Hacke,,,32,,,Bass,,1,33,
Quasimidi,The Raven,Factory presets 1996,A034,HighLow,,,33,,,Bass,,1,34,
Quasimidi,The Raven,Factory presets 1996,A035,HipBass,,,34,,,Bass,,1,35,
Quasimidi,The Raven,Factory presets 1996,A036,Kramer,,,35,,,Bass,,1,36,
Quasimidi,The Raven,Factory presets 1996,A037,Line303a,,,36,,,Bass,,1,37,
Quasimidi,The Raven,Factory presets 1996,A038,Line303b,0,,37,,,Bass,,1,38,
Quasimidi,The Raven,Factory presets 1996,A039,Line303c,0,,38,,,Bass,,1,39,
Quasimidi,The Raven,Factory presets 1996,A040,Line303d,0,,39,,,Bass,,1,40,
Quasimidi,The Raven,Factory presets 1996,A041,Line303e,0,,40,,,Bass,,1,41,
Quasimidi,The Raven,Factory presets 1996,A042,Line303f,0,,41,,,Bass,,1,42,
Quasimidi,The Raven,Factory presets 1996,A043,MC202bs,0,,42,,,Bass,,1,43,
Quasimidi,The Raven,Factory presets 1996,A044,MC202seq,0,,43,,,Bass,,1,44,
Quasimidi,The Raven,Factory presets 1996,A045,Melomoog,0,,44,,,Bass,,1,45,
Quasimidi,The Raven,Factory presets 1996,A046,Miamibs,0,,45,,,Bass,,1,46,
Quasimidi,The Raven,Factory presets 1996,A047,Micromog,0,,46,,,Bass,,1,47,
Quasimidi,The Raven,Factory presets 1996,A048,Microrav,0,,47,,,Bass,,1,48,
Quasimidi,The Raven,Factory presets 1996,A049,Minideep,0,,48,,,Bass,,1,49,
Quasimidi,The Raven,Factory presets 1996,A050,MKS_50_1,0,,49,,,Bass,,1,50,
Quasimidi,The Raven,Factory presets 1996,A051,MKS_50_2,0,,50,,,Bass,,1,51,
Quasimidi,The Raven,Factory presets 1996,A052,MKS_50_3,0,,51,,,Bass,,1,52,
Quasimidi,The Raven,Factory presets 1996,A053,MoogBas1,0,,52,,,Bass,,1,53,
Quasimidi,The Raven,Factory presets 1996,A054,MoogBas2,0,,53,,,Bass,,1,54,
Quasimidi,The Raven,Factory presets 1996,A055,MoogVox,0,,54,,,Bass,,1,55,
Quasimidi,The Raven,Factory presets 1996,A056,MoogSynt,0,,55,,,Bass,,1,56,
Quasimidi,The Raven,Factory presets 1996,A057,Mr_Moog1,0,,56,,,Bass,,1,57,
