manufacturer,device,patchset,displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange
Roland,JD-Xi,Factory presets 2015 analog,001,Toxic Bass 1,94,64,0,,,,95,65,1
Roland,JD-Xi,Factory presets 2015 analog,002,Sub Bass 1,94,64,1,,,,95,65,2
Roland,JD-Xi,Factory presets 2015 analog,003,Backwards 1,94,64,2,,,,95,65,3
Roland,JD-Xi,Factory presets 2015 analog,004,Fat as That1,94,64,3,,,,95,65,4
Roland,JD-Xi,Factory presets 2015 analog,005,Saw+Sub Bs 1,94,64,4,,,,95,65,5
Roland,JD-Xi,Factory presets 2015 analog,006,Saw Bass 1,94,64,5,,,,95,65,6
Roland,JD-Xi,Factory presets 2015 analog,007,Pulse Bass 1,94,64,6,,,,95,65,7
Roland,JD-Xi,Factory presets 2015 analog,008,ResoSaw Bs 1,94,64,7,,,,95,65,8
Roland,JD-Xi,Factory presets 2015 analog,009,ResoSaw Bs 2,94,64,8,,,,95,65,9
Roland,JD-Xi,Factory presets 2015 analog,010,AcidSaw SEQ1,94,64,9,,,,95,65,10
Roland,JD-Xi,Factory presets 2015 analog,011,Psy Bass 1,94,64,10,,,,95,65,11
Roland,JD-Xi,Factory presets 2015 analog,012,Dist TB Bs 1,94,64,11,,,,95,65,12
Roland,JD-Xi,Factory presets 2015 analog,013,Sqr Bass 1,94,64,12,,,,95,65,13
Roland,JD-Xi,Factory presets 2015 analog,014,Tri Bass 1,94,64,13,,,,95,65,14
Roland,JD-Xi,Factory presets 2015 analog,015,Snake Glide1,94,64,14,,,,95,65,15
Roland,JD-Xi,Factory presets 2015 analog,016,Soft Bass 1,94,64,15,,,,95,65,16
Roland,JD-Xi,Factory presets 2015 analog,017,Tear Drop 1,94,64,16,,,,95,65,17
Roland,JD-Xi,Factory presets 2015 analog,018,Slo worn 1,94,64,17,,,,95,65,18
Roland,JD-Xi,Factory presets 2015 analog,019,Dist LFO Bs1,94,64,18,,,,95,65,19
Roland,JD-Xi,Factory presets 2015 analog,020,ResoPulseBs1,94,64,19,,,,95,65,20
Roland,JD-Xi,Factory presets 2015 analog,021,Squelchy 1,94,64,20,,,,95,65,21
Roland,JD-Xi,Factory presets 2015 analog,022,DnB Wobbler1,94,64,21,,,,95,65,22
Roland,JD-Xi,Factory presets 2015 analog,023,OffBeat Wob1,94,64,22,,,,95,65,23
Roland,JD-Xi,Factory presets 2015 analog,024,Chilled Wob,94,64,23,,,,95,65,24
Roland,JD-Xi,Factory presets 2015 analog,025,Bouncy Bass1,94,64,24,,,,95,65,25
Roland,JD-Xi,Factory presets 2015 analog,026,PulseOfLife1,94,64,25,,,,95,65,26
Roland,JD-Xi,Factory presets 2015 analog,027,PWM Base 1,94,64,26,,,,95,65,27
Roland,JD-Xi,Factory presets 2015 analog,028,Pumper Bass1,94,64,27,,,,95,65,28
Roland,JD-Xi,Factory presets 2015 analog,029,ClickerBass1,94,64,28,,,,95,65,29
Roland,JD-Xi,Factory presets 2015 analog,030,Psy Bass 2,94,64,29,,,,95,65,30
Roland,JD-Xi,Factory presets 2015 analog,031,HooverSuprt1,94,64,30,,,,95,65,31
Roland,JD-Xi,Factory presets 2015 analog,032,Celoclip 1,94,64,31,,,,95,65,32
Roland,JD-Xi,Factory presets 2015 analog,033,Tri Fall Bs1,94,64,32,,,,95,65,33
Roland,JD-Xi,Factory presets 2015 analog,034,808 Bass 1,94,64,33,,,,95,65,34
Roland,JD-Xi,Factory presets 2015 analog,035,House Bass 1,94,64,34,,,,95,65,35
Roland,JD-Xi,Factory presets 2015 analog,036,Psy Bass 3,94,64,35,,,,95,65,36
Roland,JD-Xi,Factory presets 2015 analog,037,Reel 1,94,64,36,,,,95,65,37
Roland,JD-Xi,Factory presets 2015 analog,038,PortaSaw Ld1,94,64,37,,,,95,65,38
Roland,JD-Xi,Factory presets 2015 analog,039,Porta Lead 1,94,64,38,,,,95,65,39
Roland,JD-Xi,Factory presets 2015 analog,040,Analog Tp 1,94,64,39,,,,95,65,40
Roland,JD-Xi,Factory presets 2015 analog,041,Tri Lead 1,94,64,40,,,,95,65,41
Roland,JD-Xi,Factory presets 2015 analog,042,Sine Lead 1,94,64,41,,,,95,65,42
Roland,JD-Xi,Factory presets 2015 analog,043,Saw Buzz 1,94,64,42,,,,95,65,43
Roland,JD-Xi,Factory presets 2015 analog,044,Buzz Saw Ld1,94,64,43,,,,95,65,44
Roland,JD-Xi,Factory presets 2015 analog,045,Laser Lead 1,94,64,44,,,,95,65,45
Roland,JD-Xi,Factory presets 2015 analog,046,Saw & Per 1,94,64,45,,,,95,65,46
Roland,JD-Xi,Factory presets 2015 analog,047,Insect 1,94,64,46,,,,95,65,47
Roland,JD-Xi,Factory presets 2015 analog,048,Sqr SEQ 1,94,64,47,,,,95,65,48
Roland,JD-Xi,Factory presets 2015 analog,049,ZipPhase 1,94,64,48,,,,95,65,49
Roland,JD-Xi,Factory presets 2015 analog,050,Stinger 1,94,64,49,,,,95,65,50
Roland,JD-Xi,Factory presets 2015 analog,051,3 Oh 3,94,64,50,,,,95,65,51
Roland,JD-Xi,Factory presets 2015 analog,052,Sus Zap 1,94,64,51,,,,95,65,52
Roland,JD-Xi,Factory presets 2015 analog,053,Bowouch 1,94,64,52,,,,95,65,53
Roland,JD-Xi,Factory presets 2015 analog,054,Resocut 1,94,64,53,,,,95,65,54
Roland,JD-Xi,Factory presets 2015 analog,055,LFO FX,94,64,54,,,,95,65,55
Roland,JD-Xi,Factory presets 2015 analog,056,Fall Synth 1,94,64,55,,,,95,65,56
Roland,JD-Xi,Factory presets 2015 analog,057,Twister 1,94,64,56,,,,95,65,57
Roland,JD-Xi,Factory presets 2015 analog,058,Analog Kick1,94,64,57,,,,95,65,58
Roland,JD-Xi,Factory presets 2015 analog,059,Zippers 1,94,64,58,,,,95,65,59
Roland,JD-Xi,Factory presets 2015 analog,060,Zippers 2,94,64,59,,,,95,65,60
