manufacturer,device,patchset,displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange
Roland,JD-Xi,Factory presets 2015 digital,001,JP8 Strings1,95,64,0,,,Strings/Pad,96,65,1
Roland,JD-Xi,Factory presets 2015 digital,002,Soft Pad 1,95,64,1,,,Strings/Pad,96,65,2
Roland,JD-Xi,Factory presets 2015 digital,003,JP8 Strings2,95,64,2,,,Strings/Pad,96,65,3
Roland,JD-Xi,Factory presets 2015 digital,004,JUNO Str 1,95,64,3,,,Strings/Pad,96,65,4
Roland,JD-Xi,Factory presets 2015 digital,005,Oct Strings,95,64,4,,,Strings/Pad,96,65,5
Roland,JD-Xi,Factory presets 2015 digital,006,Brite Str 1,95,64,5,,,Strings/Pad,96,65,6
Roland,JD-Xi,Factory presets 2015 digital,007,Boreal Pad,95,64,6,,,Strings/Pad,96,65,7
Roland,JD-Xi,Factory presets 2015 digital,008,JP8 Strings3,95,64,7,,,Strings/Pad,96,65,8
Roland,JD-Xi,Factory presets 2015 digital,009,JP8 Strings4,95,64,8,,,Strings/Pad,96,65,9
Roland,JD-Xi,Factory presets 2015 digital,010,Hollow Pad 1,95,64,9,,,Strings/Pad,96,65,10
Roland,JD-Xi,Factory presets 2015 digital,011,LFO Pad 1,95,64,10,,,Strings/Pad,96,65,11
Roland,JD-Xi,Factory presets 2015 digital,012,Hybrid Str,95,64,11,,,Strings/Pad,96,65,12
Roland,JD-Xi,Factory presets 2015 digital,013,Awakening 1,95,64,12,,,Strings/Pad,96,65,13
Roland,JD-Xi,Factory presets 2015 digital,014,Cincosoft 1,95,64,13,,,Strings/Pad,96,65,14
Roland,JD-Xi,Factory presets 2015 digital,015,Bright Pad 1,95,64,14,,,Strings/Pad,96,65,15
Roland,JD-Xi,Factory presets 2015 digital,016,Analog Str 1,95,64,15,,,Strings/Pad,96,65,16
Roland,JD-Xi,Factory presets 2015 digital,017,Soft ResoPd1,95,64,16,,,Strings/Pad,96,65,17
Roland,JD-Xi,Factory presets 2015 digital,018,HPF Poly 1,95,64,17,,,Strings/Pad,96,65,18
Roland,JD-Xi,Factory presets 2015 digital,019,BPF Poly,95,64,18,,,Strings/Pad,96,65,19
Roland,JD-Xi,Factory presets 2015 digital,020,Sweep Pad 1,95,64,19,,,Strings/Pad,96,65,20
Roland,JD-Xi,Factory presets 2015 digital,021,Soft Pad 2,95,64,20,,,Strings/Pad,96,65,21
Roland,JD-Xi,Factory presets 2015 digital,022,Sweep JD 1,95,64,21,,,Strings/Pad,96,65,22
Roland,JD-Xi,Factory presets 2015 digital,023,FltSweep Pd1,95,64,22,,,Strings/Pad,96,65,23
Roland,JD-Xi,Factory presets 2015 digital,024,HPF Pad,95,64,23,,,Strings/Pad,96,65,24
Roland,JD-Xi,Factory presets 2015 digital,025,HPF SweepPd1,95,64,24,,,Strings/Pad,96,65,25
Roland,JD-Xi,Factory presets 2015 digital,026,KOff Pad,95,64,25,,,Strings/Pad,96,65,26
Roland,JD-Xi,Factory presets 2015 digital,027,Sweep Pad 2,95,64,26,,,Strings/Pad,96,65,27
Roland,JD-Xi,Factory presets 2015 digital,028,TrnsSweepPad,95,64,27,,,Strings/Pad,96,65,28
Roland,JD-Xi,Factory presets 2015 digital,029,Revalation 1,95,64,28,,,Strings/Pad,96,65,29
Roland,JD-Xi,Factory presets 2015 digital,030,LFO CarvePd1,95,64,29,,,Strings/Pad,96,65,30
Roland,JD-Xi,Factory presets 2015 digital,031,RETROX 139 1,95,64,30,,,Strings/Pad,96,65,31
Roland,JD-Xi,Factory presets 2015 digital,032,LFO ResoPad1,95,64,31,,,Strings/Pad,96,65,32
Roland,JD-Xi,Factory presets 2015 digital,033,PLS Pad 1,95,64,32,,,Strings/Pad,96,65,33
Roland,JD-Xi,Factory presets 2015 digital,034,PLS Pad 2,95,64,33,,,Strings/Pad,96,65,34
Roland,JD-Xi,Factory presets 2015 digital,035,Trip 2 Mars1,95,64,34,,,Strings/Pad,96,65,35
Roland,JD-Xi,Factory presets 2015 digital,036,Reso S&H Pd1,95,64,35,,,Strings/Pad,96,65,36
Roland,JD-Xi,Factory presets 2015 digital,037,SideChainPd1,95,64,36,,,Strings/Pad,96,65,37
Roland,JD-Xi,Factory presets 2015 digital,038,PXZoon 1,95,64,37,,,Strings/Pad,96,65,38
Roland,JD-Xi,Factory presets 2015 digital,039,Psychoscilo1,95,64,38,,,Strings/Pad,96,65,39
Roland,JD-Xi,Factory presets 2015 digital,040,Fantasy 1,95,64,39,,,Strings/Pad,96,65,40
Roland,JD-Xi,Factory presets 2015 digital,041,D-50 Stack 1,95,64,40,,,Strings/Pad,96,65,41
Roland,JD-Xi,Factory presets 2015 digital,042,Organ Pad,95,64,41,,,Strings/Pad,96,65,42
Roland,JD-Xi,Factory presets 2015 digital,043,Bell Pad,95,64,42,,,Strings/Pad,96,65,43
Roland,JD-Xi,Factory presets 2015 digital,044,Dreaming 1,95,64,43,,,Strings/Pad,96,65,44
Roland,JD-Xi,Factory presets 2015 digital,045,Syn Sniper 1,95,64,44,,,Strings/Pad,96,65,45
Roland,JD-Xi,Factory presets 2015 digital,046,Strings 1,95,64,45,,,Strings/Pad,96,65,46
Roland,JD-Xi,Factory presets 2015 digital,047,D-50 Pizz 1,95,64,46,,,Strings/Pad,96,65,47
Roland,JD-Xi,Factory presets 2015 digital,048,Super Saw 1,95,64,47,,,Lead,96,65,48
Roland,JD-Xi,Factory presets 2015 digital,049,S-SawStacLd1,95,64,48,,,Lead,96,65,49
Roland,JD-Xi,Factory presets 2015 digital,050,Tekno Lead 1,95,64,49,,,Lead,96,65,50
Roland,JD-Xi,Factory presets 2015 digital,051,Tekno Lead 2,95,64,50,,,Lead,96,65,51
Roland,JD-Xi,Factory presets 2015 digital,052,Tekno Lead 3,95,64,51,,,Lead,96,65,52
Roland,JD-Xi,Factory presets 2015 digital,053,OSC-SyncLd 1,95,64,52,,,Lead,96,65,53
Roland,JD-Xi,Factory presets 2015 digital,054,WaveShapeLd1,95,64,53,,,Lead,96,65,54
Roland,JD-Xi,Factory presets 2015 digital,055,JD RingMod 1,95,64,54,,,Lead,96,65,55
Roland,JD-Xi,Factory presets 2015 digital,056,Buzz Lead 1,95,64,55,,,Lead,96,65,56
Roland,JD-Xi,Factory presets 2015 digital,057,Buzz Lead 2,95,64,56,,,Lead,96,65,57
Roland,JD-Xi,Factory presets 2015 digital,058,SawBuzz Ld 1,95,64,57,,,Lead,96,65,58
Roland,JD-Xi,Factory presets 2015 digital,059,Sqr Buzz Ld1,95,64,58,,,Lead,96,65,59
Roland,JD-Xi,Factory presets 2015 digital,060,Tekno Lead 4,95,64,59,,,Lead,96,65,60
Roland,JD-Xi,Factory presets 2015 digital,061,Dist Flt TB1,95,64,60,,,Lead,96,65,61
Roland,JD-Xi,Factory presets 2015 digital,062,Dist TB Sqr1,95,64,61,,,Lead,96,65,62
Roland,JD-Xi,Factory presets 2015 digital,063,Glideator 1,95,64,62,,,Lead,96,65,63
Roland,JD-Xi,Factory presets 2015 digital,064,Vintager 1,95,64,63,,,Lead,96,65,64
Roland,JD-Xi,Factory presets 2015 digital,065,Hover Lead 1,95,64,64,,,Lead,96,65,65
Roland,JD-Xi,Factory presets 2015 digital,066,Saw Lead 1,95,64,65,,,Lead,96,65,66
Roland,JD-Xi,Factory presets 2015 digital,067,Saw+Tri Lead,95,64,66,,,Lead,96,65,67
Roland,JD-Xi,Factory presets 2015 digital,068,PortaSaw Ld1,95,64,67,,,Lead,96,65,68
Roland,JD-Xi,Factory presets 2015 digital,069,Reso Saw Ld,95,64,68,,,Lead,96,65,69
Roland,JD-Xi,Factory presets 2015 digital,070,SawTrap Ld 1,95,64,69,,,Lead,96,65,70
Roland,JD-Xi,Factory presets 2015 digital,071,Fat GR Lead,95,64,70,,,Lead,96,65,71
Roland,JD-Xi,Factory presets 2015 digital,072,Pulstar Ld,95,64,71,,,Lead,96,65,72
Roland,JD-Xi,Factory presets 2015 digital,073,Slow Lead,95,64,72,,,Lead,96,65,73
Roland,JD-Xi,Factory presets 2015 digital,074,AnaVox Lead,95,64,73,,,Lead,96,65,74
Roland,JD-Xi,Factory presets 2015 digital,075,Square Ld 1,95,64,74,,,Lead,96,65,75
Roland,JD-Xi,Factory presets 2015 digital,076,Square Ld 2,95,64,75,,,Lead,96,65,76
Roland,JD-Xi,Factory presets 2015 digital,077,Sqr Lead 1,95,64,76,,,Lead,96,65,77
Roland,JD-Xi,Factory presets 2015 digital,078,Sqr Trap Ld1,95,64,77,,,Lead,96,65,78
Roland,JD-Xi,Factory presets 2015 digital,079,Sine Lead 1,95,64,78,,,Lead,96,65,79
Roland,JD-Xi,Factory presets 2015 digital,080,Tri Lead,95,64,79,,,Lead,96,65,80
Roland,JD-Xi,Factory presets 2015 digital,081,Tri Stac Ld1,95,64,80,,,Lead,96,65,81
Roland,JD-Xi,Factory presets 2015 digital,082,5th SawLead1,95,64,81,,,Lead,96,65,82
Roland,JD-Xi,Factory presets 2015 digital,083,Sweet 5th 1,95,64,82,,,Lead,96,65,83
