manufacturer,device,patchset,displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,val-saw,val-sqr,val-pink,val-white,val-decay,val-volume,val-disttype,val-efx1,val-efx2
Roland,TB-3,Factory presets 2014,A01,Untitled A01,0,,0,,,Bass,1,,1,127,,,,20,92,none,Bypass,Bypass
Roland,TB-3,Factory presets 2014,A02,Untitled A02,0,,1,,,Bass,1,,2,,127,,,20,92,none,Bypass,Bypass
Roland,TB-3,Factory presets 2014,A03,Untitled A03,0,,2,,,Bass,1,,3,127,,,,0,98,none,Bypass,Reverb
Roland,TB-3,Factory presets 2014,A04,Untitled A04,0,,3,,,Bass,1,,4,,127,,,0,97,none,Bypass,Reverb
Roland,TB-3,Factory presets 2014,A05,Untitled A05,0,,4,,,Bass,1,,5,107,,,,0,82,none,Chorus,Compression
Roland,TB-3,Factory presets 2014,A06,Untitled A06,0,,5,,,Bass,1,,6,,109,,,0,86,none,Chorus,Compression
Roland,TB-3,Factory presets 2014,A07,Untitled A07,0,,6,,,Bass,1,,7,127,,,,127,97,none,Chorus,Delay
Roland,TB-3,Factory presets 2014,A08,Untitled A08,0,,7,,,Bass,1,,8,,127,,,127,100,none,Chorus,Delay
Roland,TB-3,Factory presets 2014,A09,Untitled A09,0,,8,,,Bass,1,,9,127,,,,20,74,none,Flanger,Delay
Roland,TB-3,Factory presets 2014,A10,Untitled A10,0,,9,,,Bass,1,,10,,127,,,20,74,none,Flanger,Delay
Roland,TB-3,Factory presets 2014,A11,Untitled A11,0,,10,,,Bass,1,,11,127,,,,127,95,Distortion,Compression,Bypass
Roland,TB-3,Factory presets 2014,A12,Untitled A12,0,,11,,,Bass,1,,12,,127,,,127,93,Distortion,Compression,Bypass
Roland,TB-3,Factory presets 2014,A13,Untitled A13,0,,12,,,Bass,1,,13,127,,,,127,88,Turbo OD,Bypass,Bypass
Roland,TB-3,Factory presets 2014,A14,Untitled A14,0,,13,,,Bass,1,,14,,127,,,127,88,Turbo OD,Bypass,Bypass
Roland,TB-3,Factory presets 2014,A15,Untitled A15,0,,14,,,Bass,1,,15,127,,,,105,88,Lead,Chorus,Reverb
Roland,TB-3,Factory presets 2014,A16,Untitled A16,0,,15,,,Bass,1,,16,,127,,,105,86,Lead,Chorus,Reverb
Roland,TB-3,Factory presets 2014,A17,Untitled A17,0,,16,,,Bass,1,,17,127,,,,127,95,Distortion,Compression,Delay
Roland,TB-3,Factory presets 2014,A18,Untitled A18,0,,17,,,Bass,1,,18,,127,,,127,97,Distortion,Compression,Delay
Roland,TB-3,Factory presets 2014,A19,Untitled A19,0,,18,,,Bass,1,,19,127,,,,127,98,OD-1,Compression,Delay
Roland,TB-3,Factory presets 2014,A20,Untitled A20,0,,19,,,Bass,1,,20,,127,,,127,95,OD-1,Compression,Delay
Roland,TB-3,Factory presets 2014,A21,Untitled A21,0,,20,,,Bass,1,,21,127,,,,121,71,Turbo OD,Chorus,Delay
Roland,TB-3,Factory presets 2014,A22,Untitled A22,0,,21,,,Bass,1,,22,,127,,,121,71,Turbo OD,Chorus,Delay
Roland,TB-3,Factory presets 2014,A23,Untitled A23,0,,22,,,Bass,1,,23,127,,,,127,62,Blues OD,Bitcrush,Bypass
Roland,TB-3,Factory presets 2014,A24,Untitled A24,0,,23,,,Bass,1,,24,,127,,,127,60,Blues OD,Bitcrush,Bypass
Roland,TB-3,Factory presets 2014,A25,Untitled A25,0,,24,,,Bass,1,,25,127,,,,90,64,T-Scream,Phaser,Delay
Roland,TB-3,Factory presets 2014,A26,Untitled A26,0,,25,,,Bass,1,,26,,127,,,90,62,T-Scream,Phaser,Delay
Roland,TB-3,Factory presets 2014,B01,Untitled B01,1,,0,,,Bass,2,,1,91,98,,,110,79,none,Chorus,Delay
Roland,TB-3,Factory presets 2014,B02,Untitled B02,1,,1,,,Bass,2,,2,75,42,,,30,105,Treble,Delay,Bypass
Roland,TB-3,Factory presets 2014,B03,Untitled B03,1,,2,,,Bass,2,,3,63,0,,,15,80,none,Bypass,Delay
