manufacturer,device,patchset,displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,creator-short,creator,creator-proximity,original-patchname
Waldorf,Blofeld,Factory Presets 2012,A001,Start Up,0,,0,,,Arp,1,,1,T,Tsching (Holger Steinbrink),7,Start Up       T
Waldorf,Blofeld,Factory Presets 2012,A002,70s Pad,0,,1,,,Pad,1,,2,T,Tsching (Holger Steinbrink),8,70s Pad        T
Waldorf,Blofeld,Factory Presets 2012,A003,Tschingeling,0,,2,,,Arp,1,,3,SCD,Something Completely Different (Boele Gerkes),1,Tschingeling SCD
Waldorf,Blofeld,Factory Presets 2012,A004,XT Close,0,,3,,,Keys,1,,4,SCD,Something Completely Different (Boele Gerkes),5,XT Close     SCD
Waldorf,Blofeld,Factory Presets 2012,A005,Digital JP4,0,,4,,,Arp,1,,5,SCD,Something Completely Different (Boele Gerkes),2,Digital JP4  SCD
Waldorf,Blofeld,Factory Presets 2012,A006,BloChoir,0,,5,,,Pad,1,,6,T,Tsching (Holger Steinbrink),7,BloChoir       T
Waldorf,Blofeld,Factory Presets 2012,A007,Sync Different,0,,6,,,Lead,1,,7,T,Tsching (Holger Steinbrink),1,Sync Different T
Waldorf,Blofeld,Factory Presets 2012,A008,TearsFromComb,0,,7,,,Keys,1,,8,SCD,Something Completely Different (Boele Gerkes),0,TearsFromCombSCD
Waldorf,Blofeld,Factory Presets 2012,A009,Click Bass,0,,8,,,Bass,1,,9,T,Tsching (Holger Steinbrink),5,Click Bass     T
Waldorf,Blofeld,Factory Presets 2012,A010,Myst 6,0,,9,,,Atmo,1,,10,T,Tsching (Holger Steinbrink),9,Myst 6         T
Waldorf,Blofeld,Factory Presets 2012,A011,Sander Lead,0,,10,,,Lead,1,,11,T,Tsching (Holger Steinbrink),4,Sander Lead    T
Waldorf,Blofeld,Factory Presets 2012,A012,Bladerunner,0,,11,,,Poly,1,,12,T,Tsching (Holger Steinbrink),4,Bladerunner    T
Waldorf,Blofeld,Factory Presets 2012,A013,BloStrings,0,,12,,,Pad,1,,13,T,Tsching (Holger Steinbrink),5,BloStrings     T
Waldorf,Blofeld,Factory Presets 2012,A014,ArpDelayLFO?,0,,13,,,Arp,1,,14,SCD,Something Completely Different (Boele Gerkes),1,ArpDelayLFO? SCD
Waldorf,Blofeld,Factory Presets 2012,A015,Dahlbeck Bass,0,,14,,,Bass,1,,15,T,Tsching (Holger Steinbrink),2,Dahlbeck Bass  T
Waldorf,Blofeld,Factory Presets 2012,A016,CopiedByLargo,0,,15,,,Atmo,1,,16,T,Tsching (Holger Steinbrink),2,CopiedByLargo  T
Waldorf,Blofeld,Factory Presets 2012,A017,JustResonance,0,,16,,,Arp,1,,17,SCD,Something Completely Different (Boele Gerkes),0,JustResonanceSCD
Waldorf,Blofeld,Factory Presets 2012,A018,IntensiveCare,0,,17,,,Poly,1,,18,SCD,Something Completely Different (Boele Gerkes),0,IntensiveCareSCD
Waldorf,Blofeld,Factory Presets 2012,A019,Planet Ice,0,,18,,,Pad,1,,19,T,Tsching (Holger Steinbrink),5,Planet Ice     T
Waldorf,Blofeld,Factory Presets 2012,A020,Pad Brown,0,,19,,,Pad,1,,20,T,Tsching (Holger Steinbrink),6,Pad Brown      T
Waldorf,Blofeld,Factory Presets 2012,A021,Rasenflaeche,0,,20,,,Pad,1,,21,T,Tsching (Holger Steinbrink),3,Rasenflaeche   T
Waldorf,Blofeld,Factory Presets 2012,A022,PWM<->SWM,0,,21,,,Pad,1,,22,SCD,Something Completely Different (Boele Gerkes),4,PWM<->SWM    SCD
Waldorf,Blofeld,Factory Presets 2012,A023,SuperPulse,0,,22,,,Pad,1,,23,SCD,Something Completely Different (Boele Gerkes),3,SuperPulse   SCD
Waldorf,Blofeld,Factory Presets 2012,A024,Eyes Wide Open,0,,23,,,Pad,1,,24,T,Tsching (Holger Steinbrink),1,Eyes Wide Open T
